City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,10.27,37,16,2.75,NZ,1670295825
1,yellowknife,62.456,-114.3525,-35.25,66,15,2.68,CA,1670295687
2,jamestown,42.097,-79.2353,6.77,40,75,4.63,US,1670295826
3,moose factory,51.2585,-80.6094,-19.01,78,100,5.14,CA,1670295826
4,bluff,-46.6,168.3333,10.45,59,10,5.9,NZ,1670295827
5,vaini,-21.2,-175.2,26.02,80,79,9.3,TO,1670295827
6,basco,20.4487,121.9702,25.76,77,99,12.37,PH,1670295828
7,puerto ayora,-0.7393,-90.3518,20.86,94,24,2.68,EC,1670295828
8,bredasdorp,-34.5322,20.0403,12.86,77,95,1.4,ZA,1670295828
9,cabra,37.4725,-4.4421,12.03,90,97,1.47,ES,1670295829
10,codrington,-38.2667,141.9667,16.82,59,44,4.52,AU,1670295829
11,vetapalem,15.7833,80.3167,23.83,80,89,3.08,IN,1670295830
12,buala,-8.145,159.5921,28.86,74,90,2.24,SB,1670295830
13,novoagansk,61.9449,76.6625,-13.61,96,99,3.06,RU,1670295830
14,portland,45.5234,-122.6762,4.34,86,100,2.06,US,1670295777
15,ergani,38.2653,39.7621,5.5,70,11,0.91,TR,1670295831
16,port alfred,-33.5906,26.891,13.43,94,100,0.89,ZA,1670295831
17,great falls,47.5002,-111.3008,-6.29,95,100,2.57,US,1670295601
18,victoria,22.2855,114.1577,16.85,72,100,4.02,HK,1670295743
19,vao,-22.6667,167.4833,25.31,85,87,5.5,NC,1670295832
20,pisco,-13.7,-76.2167,18.9,79,100,0.86,PE,1670295774
21,harper,4.375,-7.7169,25.19,88,98,2.09,LR,1670295592
22,souillac,-20.5167,57.5167,24.95,77,47,6.71,MU,1670295833
23,dongying,37.4564,118.4856,3.9,27,0,2.8,CN,1670295834
24,mahebourg,-20.4081,57.7,24.58,77,36,6.92,MU,1670295834
25,ushuaia,-54.8,-68.3,1.01,96,88,0.9,AR,1670295835
26,linhai,28.85,121.1167,14.4,50,61,1.72,CN,1670295705
27,ilulissat,69.2167,-51.1,3.01,48,41,11.32,GL,1670295836
28,east london,-33.0153,27.9116,14.89,80,67,3.88,ZA,1670295380
29,cam ranh,11.9214,109.1591,25.98,89,40,6.17,VN,1670295837
30,sawakin,19.1059,37.3321,25.1,77,35,3.62,SD,1670295837
31,butaritari,3.0707,172.7902,27.16,80,86,6.66,KI,1670295838
32,rennes,48.1667,-1.6667,4.02,87,100,1.54,FR,1670295659
33,roma,43.2128,-75.4557,5.46,59,100,0.89,US,1670295594
34,tuktoyaktuk,69.4541,-133.0374,-26.58,82,14,9.48,CA,1670295839
35,batemans bay,-35.7167,150.1833,19.5,55,83,4.38,AU,1670295839
36,rikitea,-23.1203,-134.9692,24.02,81,100,6.17,PF,1670295840
37,ormara,25.2088,64.6357,22.68,47,0,3.44,PK,1670295840
38,le port,-20.9373,55.2919,26.98,58,100,2.59,RE,1670295706
39,los llanos de aridane,28.6585,-17.9182,15.86,86,0,2.57,ES,1670295841
40,tasiilaq,65.6145,-37.6368,-3.91,58,8,1.71,GL,1670295794
41,georgetown,5.4112,100.3354,29.97,82,20,0.51,MY,1670295676
42,lavrentiya,65.5833,-171.0,-1.51,97,100,14.84,RU,1670295841
43,pangnirtung,66.1451,-65.7125,-7.5,96,100,1.28,CA,1670295842
44,busselton,-33.65,115.3333,22.3,38,0,4.29,AU,1670295842
45,carnarvon,-24.8667,113.6333,23.52,61,26,7.58,AU,1670295843
46,albany,42.6001,-73.9662,3.5,57,97,0.89,US,1670295737
47,kalmunai,7.4167,81.8167,25.75,82,100,3.98,LK,1670295623
48,marzuq,14.4,46.4667,13.64,65,28,1.77,YE,1670295845
49,port elizabeth,-33.918,25.5701,15.73,90,100,2.68,ZA,1670295632
50,yeppoon,-23.1333,150.7333,31.88,51,0,4.84,AU,1670295846
51,saldanha,-33.0117,17.9442,15.5,83,16,4.28,ZA,1670295847
52,hobart,-42.8794,147.3294,17.25,56,75,8.23,AU,1670295324
53,cape town,-33.9258,18.4232,19.1,72,25,3.13,ZA,1670295813
54,lasa,46.6166,10.7002,-1.47,72,13,2.07,IT,1670295848
55,saint george,37.1041,-113.5841,12.19,70,75,3.09,US,1670295646
56,mayumba,-3.432,10.6554,22.09,95,100,3.41,GA,1670295848
57,saint-philippe,-21.3585,55.7679,24.77,84,97,4.88,RE,1670295849
58,bambous virieux,-20.3428,57.7575,25.12,77,36,6.84,MU,1670295849
59,punta arenas,-53.15,-70.9167,5.06,72,100,5.08,CL,1670295850
60,saintes,45.6667,-0.75,1.97,84,68,3.42,FR,1670295850
61,barrow,71.2906,-156.7887,-3.99,80,100,6.17,US,1670295850
62,new norfolk,-42.7826,147.0587,17.06,42,49,1.34,AU,1670295851
63,la malbaie,47.6575,-70.1559,-1.86,83,100,2.92,CA,1670295700
64,liverpool,53.4106,-2.9779,3.97,91,46,2.8,GB,1670295620
65,vanavara,60.34,102.2797,-11.93,92,100,4.81,RU,1670295853
66,yulara,-25.2406,130.9889,40.27,9,13,8.59,AU,1670295853
67,nurota,40.5614,65.6886,-6.63,57,11,0.65,UZ,1670295854
68,barra do garcas,-15.89,-52.2567,21.31,95,100,0.95,BR,1670295854
69,atuona,-9.8,-139.0333,25.43,74,43,6.83,PF,1670295855
70,arraial do cabo,-22.9661,-42.0278,23.12,90,100,9.95,BR,1670295855
71,castro,-24.7911,-50.0119,18.43,95,91,1.33,BR,1670295623
72,kapaa,22.0752,-159.319,25.99,89,100,7.2,US,1670295856
